Column name,Description,size per Serving
CHDL_1,Ratio of Total blood cholesterol: HDL ,NA
LDLM_1,LDL (mmol/L),NA
HbA1c_1,"Glycosylated Haemoglobin, (DCCT %)",NA
PartA_breads_1-numberOfServingsEatenPerMonth,"number of servings of white bread, including naan eaten per month",1 slice or piece
PartA_breads_2-numberOfServingsEatenPerMonth,number of servings of wholemeal bread eaten per month,1 slice or piece
PartA_breads_N1-numberOfServingsEatenPerMonth,number of servings of softmeal bread eaten per month,1 slice or piece
PartA_breads_3-numberOfServingsEatenPerMonth,number of servings of bread with fruits and nuts per month,1 slice or piece
PartA_breadsSpreads_4-numberOfServingsEatenPerMonth,number of servings of butter used per month,1 tablespoon
PartA_breadsSpreads_5-numberOfServingsEatenPerMonth,number of servings of margarine used per month,1 tablespoon
PartA_breadsSpreads_6-numberOfServingsEatenPerMonth,number of servings of peanut butter used per month,1 tablespoon
PartA_breadsSpreads_7-numberOfServingsEatenPerMonth,number of servings of jams/honey used per month,1 tablespoon
PartA_breadsSpreads_8-numberOfServingsEatenPerMonth,number of servings of kaya used per month,1 tablespoon
PartA_otherBread_9-numberOfServingsEatenPerMonth,number of servings of roti prata/murtabak eaten per month,1 piece
PartA_otherBread_N2-numberOfServingsEatenPerMonth,number of servings of chapati eaten per month,1 piece
PartA_otherBread_N3-numberOfServingsEatenPerMonth,number of servings of dosai/thosai eaten per month,1 piece
PartA_otherBread_11-numberOfServingsEatenPerMonth,number of servings of french toast/roti telur/roti john per month,1 piece
PartA_otherBread_12-numberOfServingsEatenPerMonth,number of servings of bread buns with coconut/curry/meat filings per month,1 piece
PartA_otherBread_N4-numberOfServingsEatenPerMonth,"number of servings of breads made from other flour (rye, pearl millet(bajra),sorghum (jowar) or finger millets (raji)) per month",1 piece
PartA_Cereals_13-numberOfServingsEatenPerMonth,number of servings of plain/flavoured breakfast cereal eaten per month,4 dessert spoons
PartA_Cereals_14-numberOfServingsEatenPerMonth,number of servings of mixed breakfast cereals (with fruits/nuts) eaten per month,4 dessert spoons
PartA_Cereals_3001-numberOfServingsEatenPerMonth,number of servings of oats/oatmeal (raw) eaten per month,4 dessert spoons
PartA_riceAndPorridge_15-numberOfServingsEatenPerMonth,"number of servings of plain rice (white, brown or red) eaten per month",1 rice bowl
PartA_riceAndPorridge_16-numberOfServingsEatenPerMonth,"number of servings of plain rice porridge (white, brown or red) eaten per month",1 noodle bowl
PartA_flavoredRice_17-numberOfServingsEatenPerMonth,nunber of servings of fried rice eaten per month,1 rice bowl
PartA_flavoredRice_18-numberOfServingsEatenPerMonth,number of servings of chicken/duck rice (with and without skin) eaten pear month,1 portion
PartA_flavoredRice_19-numberOfServingsEatenPerMonth,number of servings of mui fan eaten per month,1 portion
PartA_flavoredRice_20-numberOfServingsEatenPerMonth,number of servings of nasi briyani eaten per month,1 portion
PartA_flavoredRice_21-numberOfServingsEatenPerMonth,number of servings of nasi lemak eaten per month,1 portion
PartA_flavoredRice_22-numberOfServingsEatenPerMonth,number of servings of claypot rice eaten per month,1 portion
PartA_flavoredRice_23-numberOfServingsEatenPerMonth,"number of servings of glutinous rice (including lo mai khai, lotus leaf rice, rice dumplings) eaten per month",1 portion
PartA_flavoredRice_24-numberOfServingsEatenPerMonth,"number of servings of flavoured porridge (including chicken, pork, duck, fish, peanut, and century egg)",1 portion
PartA_noodle_25-numberOfServingsEatenPerMonth,number of servings of fishball/ yong tau foo/wanton/prawn/beef/chicken/fish slices noodles in soup eaten per month,1 portion
PartA_noodle_26-numberOfServingsEatenPerMonth,number of servings of penang laksa eaten per month,1 portion
PartA_dryNoodles_27-numberOfServingsEatenPerMonth,number of servings of fishball/yong tau foo/wanton/minced meat and mushrooms/ prawn/beef/chicken dry noodle eaten per month,1 portion
PartA_friedNoodles_29-numberOfServingsEatenPerMonth,number of servings of fried kway teow with cockles eaten per month,1 portion
PartA_friedNoodles_30-numberOfServingsEatenPerMonth,"number of servings of fried hor fun (including all noodles fried with starchy gravy, may be added with meat or seafood) eaten per month",1 portion
PartA_friedNoodles_31-numberOfServingsEatenPerMonth,"number of servings of fried noodles (including hokkien mee, mee goreng) eaten per month",1 portion
PartA_friedNoodles_32-numberOfServingsEatenPerMonth,number of servings of fried beehoon (fried dry beehoon) eaten per month,1 portion
PartA_noodlesInGravy_28-numberOfServingsEatenPerMonth,number of servings of lor mee/mee rebus eaten per month,1 portion
PartA_noodlesInGravy_33-numberOfServingsEatenPerMonth,number of servings of laksa lemak(including laksa noodle and lontong) eaten per month,1 portion
PartA_noodlesInGravy_34-numberOfServingsEatenPerMonth,number of servings of mee siam(with coconut milk) eaten per month,1 portion
PartA_otherNoodles_35-numberOfServingsEatenPerMonth,number of servings of instant noodles eaten per month,1 portion
PartA_otherNoodles_905-numberOfServingsEatenPerMonth,number of servings of boiled noodles/spaghetti/pasta(plain) eaten per month,1 portion
PartA_otherNoodles_906-numberOfServingsEatenPerMonth,number of servings of boiled noodles/spaghetti/pasta with tomato sauce eaten per month,1 portion
PartA_otherNoodles_907-numberOfServingsEatenPerMonth,number of servings of boiled noodles/spaghetti/pasta with cream white sauce eaten per month,1 portion
PartA_Vegetarian_400-numberOfServingsEatenPerMonth,number of servings of fried vegetarian kway teow/beehoon/mee/rice eaten per month,1 portion
PartA_Vegetarian_401-numberOfServingsEatenPerMonth,number of servings of gluten (char siew/duck) eaten per month,1 piece
PartA_Vegetarian_402-numberOfServingsEatenPerMonth,number of servings of fried beancurd sheet eaten per month,1 piece
PartA_soups_600-numberOfServingsEatenPerMonth,number of servings of cream soup eaten per month,1 noodle bowl
PartA_soups_601-numberOfServingsEatenPerMonth,number of servings of clear soup/broth eaten per month ,1 noodle bowl
PartA_PaleGreenVege_36-numberOfServingsEatenPerMonth,"number of servings of stir fried, plain pale green leafy vegetables (cabbage, bak choy, lettuce, beansprouts, cauliflower etc) eaten per month",1/2 mug
PartA_PaleGreenVege_40-numberOfServingsEatenPerMonth,"number of servings of stir fried (with meat/seafood) pale green leafy vegetables (cabbage, bak choy, lettuce, beansprouts, cauliflower etc) eaten per month",1/2 mug
PartA_PaleGreenVege_44-numberOfServingsEatenPerMonth,"number of servings of stir fried (in oyster sauce) pale green leafy vegetables (cabbage, bak choy, lettuce, beansprouts, cauliflower etc) eaten per month",1/2 mug
PartA_PaleGreenVege_48-numberOfServingsEatenPerMonth,"number of servings of curry/lemak pale green leafy vegetables (cabbage, bak choy, lettuce, beansprouts, cauliflower etc) eaten per month",1/2 mug
PartA_PaleGreenVege_52-numberOfServingsEatenPerMonth,"number of servings of raw/steamed/in soup pale green leafy vegetables (cabbage, bak choy, lettuce, beansprouts, cauliflower etc) eaten per month",1 mug
PartA_DarkGreenVege_53-numberOfServingsEatenPerMonth,"number of servings of stir fried, plain dark green leafy vegetables (spinach, kai lan, chye sim, kangkong, broccoli etc) eaten per month",1/2 mug
PartA_DarkGreenVege_57-numberOfServingsEatenPerMonth,"number of servings of stir fried (with meat/seafood) dark green leafy vegetables (spinach, kai lan, chye sim, kangkong, broccoli etc) eaten per month",1/2 mug
PartA_DarkGreenVege_61-numberOfServingsEatenPerMonth,"number of servings of stir fried (in oyster sauce) dark green leafy vegetables (spinach, kai lan, chye sim, kangkong, broccoli etc) eaten per month",1/2 mug
PartA_DarkGreenVege_65-numberOfServingsEatenPerMonth,"number of servings of stir fried (in sambal belacan/dried prawns) dark green leafy vegetables (spinach, kai lan, chye sim, kangkong, broccoli etc) eaten per month",1/2 mug
PartA_DarkGreenVege_69-numberOfServingsEatenPerMonth,"number of servings of raw/steamed/in soup dark green leafy vegetables (spinach, kai lan, chye sim, kangkong, broccoli etc) eaten per month",1 mug
PartA_tomatoes_70-numberOfServingsEatenPerMonth,"number of servings of stir fried, plain tomatoes, carrots, red/yellow peppers eaten per month ",1/2 mug
PartA_tomatoes_74-numberOfServingsEatenPerMonth,"number of servings of stir fried (with meat/seafood) tomatoes, carrots, red/yellow peppers eaten per month ",1/2 mug
PartA_tomatoes_78-numberOfServingsEatenPerMonth,"number of servings of curry/lemak tomatoes, carrots, red/yellow peppers eaten per month ",1/2 mug
PartA_tomatoes_82-numberOfServingsEatenPerMonth,"number of servings of raw/steamed/in soup tomatoes, carrots, red/yellow peppers eaten per month ",1 mug
PartA_Legumes_83-numberOfServingsEatenPerMonth,"number of servings of stir fried, plain legumes/pulses (eg. Beans and peas) eaten per month",1/2 mug
PartA_Legumes_87-numberOfServingsEatenPerMonth,number of servings of stir fried (in oyster sauce) legumes/pulses (eg. Beans and peas) eaten per month,1/2 mug
PartA_Legumes_91-numberOfServingsEatenPerMonth,number of servings of stir fried (in sambal belacan) legumes/pulses (eg. Beans and peas) eaten per month,1/2 mug
PartA_Legumes_95-numberOfServingsEatenPerMonth,"number of servings of dried legumes/pulses (eg. Beans and peas) in gravy (eg. Dhal, dried beans) eaten per month",1/2 mug
PartA_Legumes_354-numberOfServingsEatenPerMonth,"number of servings of stir fried, plain legumes/pulses (eg. Beans and peas) eaten per month",1/2 mug
PartA_mixedVegetables_99-numberOfServingsEatenPerMonth,number of servings of stir fried mixed vegetables eaten per month,1/2 mug
PartA_mixedVegetables_103-numberOfServingsEatenPerMonth,number of servings of stir fried (with meat/seafood) mixed vegetables eaten per month,1/2 mug
PartA_mixedVegetables_107-numberOfServingsEatenPerMonth,number of servings of stir fried (in oyster sauce) mixed vegetables eaten per month,1/2 mug
PartA_mixedVegetables_700-numberOfServingsEatenPerMonth,"number of servings of battered,deep fried (eg. Tempura) mixed vegetables eaten per month",1 serving
PartA_mixedVegetables_111-numberOfServingsEatenPerMonth,number of servings of curry/lemak mixed vegetables eaten per month,1/2 mug
PartA_mixedVegetables_115-numberOfServingsEatenPerMonth,number of servings of raw/steamed/in soup/chinese rojak mixed vegetables eaten per month,1 mug/ serving
PartA_tofu_116-numberOfServingsEatenPerMonth,number of servings of fried tofu/beancurd eaten per month,1/2 square
PartA_tofu_120-numberOfServingsEatenPerMonth,number of servings of steamed/in soup tofu/beancurd eaten per month,1/2 square
PartA_others_349-numberOfServingsEatenPerMonth,number of servings of stir fried potatoes eaten per month ,1 mug
PartA_others_121-numberOfServingsEatenPerMonth,number of servings of curry/lemak roots/stems vegetables eaten per month,1 mug
PartA_others_125-numberOfServingsEatenPerMonth,number of servings of soups (with meat stock) roots/stems vegetables eaten per month,1 mug
PartA_others_126-numberOfServingsEatenPerMonth,number of servings of stews roots/stems vegetables eaten per month,1 mug
PartA_CannedVege_704-numberOfServingsEatenPerMonth,"number of servings of preserved vegetables (Chye Sim, Olives, Kimchi and etc) eaten per month",1 dessert spoon
PartA_saladDressing_130-numberOfServingsEatenPerMonth,"number of servings of regular creamy salad dressing (thousand island, mayonnaise, salad cream and etc) eaten per month ",2 dessert spoons
PartA_saladDressing_131-numberOfServingsEatenPerMonth,number of servings of light/low fat creamy salad dressing eaten per month,2 dessert spoons
PartA_saladDressing_132-numberOfServingsEatenPerMonth,"number of servings of oil-based salad dressing (olive oil, Italian dressing) eaten per month",2 dessert spoons
PartA_fruit_133-numberOfServingsEatenPerMonth,number of servings of oranag/red/yellow fresh fruits eaten per month,1 serving
PartA_fruit_134-numberOfServingsEatenPerMonth,number of servings of other fresh fruits eaten per month,1 serving
PartA_fruit_135-numberOfServingsEatenPerMonth,number of servings of bananas eaten per month,1 medium
PartA_fruit_136-numberOfServingsEatenPerMonth,number of servings durians eaten per month ,5 seeds (80g)
PartA_fruit_137-numberOfServingsEatenPerMonth,number of servings of canned fruits eaten per month,"1/2 mug (100g, drained)"
PartA_fruit_800-numberOfServingsEatenPerMonth,number of servings of dried mixed fruits eaten per month,1/4 mug (40g)
PartA_poultry_138-numberOfServingsEatenPerMonth,number of servings of stir fried poultry (without skin) eaten per month,1 serving
PartA_poultry_142-numberOfServingsEatenPerMonth,number of servings of pan/deep fried poultry (without skin) eaten per month,1 serving
PartA_poultry_146-numberOfServingsEatenPerMonth,number of servings of coconut curry poultry (without skin) eaten per month,1 serving
PartA_poultry_150-numberOfServingsEatenPerMonth,number of servings of curry without coconut poultry (without skin) eaten per month,1 serving
PartA_poultry_154-numberOfServingsEatenPerMonth,number of servings of stew/braised/roasted poultry(without skin) eaten per month,1 serving
PartA_poultry_158-numberOfServingsEatenPerMonth,number of servings of steamed poultry (without skin) eaten per month,1 serving
PartA_PoultryWithSkin_159-numberOfServingsEatenPerMonth,number of servings of stir fried poultry (with skin) eaten per month,1 serving
PartA_PoultryWithSkin_163-numberOfServingsEatenPerMonth,number of servings of pan/deep fried poultry (with skin) eaten per month,1 serving
PartA_PoultryWithSkin_167-numberOfServingsEatenPerMonth,number of servings of coconut curry poultry (with skin) eaten per month,1 serving
PartA_PoultryWithSkin_171-numberOfServingsEatenPerMonth,number of servings of curry without coconut poultry (with skin) eaten per month,1 serving
PartA_PoultryWithSkin_175-numberOfServingsEatenPerMonth,number of servings of stew/braised/roasted poultry(with skin) eaten per month,1 serving
PartA_PoultryWithSkin_179-numberOfServingsEatenPerMonth,number of servings of steamed poultry (with skin) eaten per month,1 serving
PartA_MeatLean_180-numberOfServingsEatenPerMonth,"number of servings of stir fried meat (lean, without visible fat or skin attached) eaten per month",1 serving
PartA_MeatLean_184-numberOfServingsEatenPerMonth,"number of servings of pan/deep fried meat (lean, without visible fat or skin attached) eaten per month",1 serving
PartA_MeatLean_188-numberOfServingsEatenPerMonth,"number of servings of coconut curry/rendang meat (lean, without visible fat or skin attached) eaten per month",1 serving
PartA_MeatLean_192-numberOfServingsEatenPerMonth,"number of servings of curry without coconut meat (lean, without visible fat or skin attached) eaten per month ",1 serving
PartA_MeatLean_196-numberOfServingsEatenPerMonth,"number of servings of stewed/braised meat (lean, without visible fat or skin attached) eaten per month",1 serving
PartA_MeatLean_200-numberOfServingsEatenPerMonth,"number of servings of roasted/grilled/BBQ meat (lean, without visible fat or skin attached) eaten per month",1 serving
PartA_MeatLean_204-numberOfServingsEatenPerMonth,"number of servings of steamed/soup meat (lean, without visible fat or skin attached) eaten per month",1 serving
PartA_MeatLeanFat_205-numberOfServingsEatenPerMonth,number of servings of stir fried meat (lean and fat) eaten per month,1 serving
PartA_MeatLeanFat_209-numberOfServingsEatenPerMonth,number of servings of pan/deep fried meat (lean and fat) eaten per month,1 serving
PartA_MeatLeanFat_213-numberOfServingsEatenPerMonth,number of servings of coconut curry/rendang meat (lean and fat) eaten per month,1 serving
PartA_MeatLeanFat_217-numberOfServingsEatenPerMonth,number of servings of curry without coconut meat (lean and fat) eaten per month ,1 serving
PartA_MeatLeanFat_221-numberOfServingsEatenPerMonth,number of servings of stewed/braised meat (lean and fat) eaten per month,1 serving
PartA_MeatLeanFat_225-numberOfServingsEatenPerMonth,number of servings of roasted/grilled/BBQ meat (lean and fat) eaten per month,1 serving
PartA_MeatLeanFat_229-numberOfServingsEatenPerMonth,number of servings of steamed/soup meat (lean and fat) eaten per month,1 serving
PartA_MeatPreserved_230-numberOfServingsEatenPerMonth,number of servings of sausages eaten per month,1
PartA_MeatPreserved_231-numberOfServingsEatenPerMonth,number of servings of ham eaten per month,1 slice
PartA_MeatPreserved_232-numberOfServingsEatenPerMonth,number of servings of bacon eaten per month,1 slice
PartA_MeatPreserved_233-numberOfServingsEatenPerMonth,"number of servings of canned meat (eg luncheon meat, corned beef)",size of 4 squares of chocolate
PartA_MeatPreserved_234-numberOfServingsEatenPerMonth,number of servings of liver and other innards (including kway chap without egg and kway) ,size of 4 squares of chocolate
PartA_Fish_3003-numberOfServingsEatenPerMonth,number of servings of raw fish (eg. Sashimi) eaten per month,1 slice
PartA_Fish_235-numberOfServingsEatenPerMonth,number of servings of stir fried/pan fried/ deep fried fish eaten per month,1 serving
PartA_Fish_239-numberOfServingsEatenPerMonth,number of servings of deep fried with batter fish eaten per month,1 serving
PartA_Fish_243-numberOfServingsEatenPerMonth,number of servings of steamed fish eaten per month,1 serving
PartA_Fish_247-numberOfServingsEatenPerMonth,number of servings of assam pedas fish eaten per month,1 serving
PartA_Fish_251-numberOfServingsEatenPerMonth,number of servings of coconut curry fish eaten per month,1 serving
PartA_Fish_255-numberOfServingsEatenPerMonth,number of servings of curry without coconut fish eaten per month,1 serving
PartA_Fish_259-numberOfServingsEatenPerMonth,number of servings of grilled fish eaten per month,1 serving
PartA_Fish_3004-numberOfServingsEatenPerMonth,"number of servings of canned fish (eg, tuna) eaten per month",1 dessert spoon
PartA_OtherSeafood_263-numberOfServingsEatenPerMonth,number of servings of stir fried/pan fried/ deep fried other seafood eaten per month,1 serving
PartA_OtherSeafood_267-numberOfServingsEatenPerMonth,number of servings of deep fried with batter other seafood eaten per month,1 serving
PartA_OtherSeafood_271-numberOfServingsEatenPerMonth,number of servings of steamed other seafood eaten per month,1 serving
PartA_OtherSeafood_275-numberOfServingsEatenPerMonth,number of servings of assam pedas other seafood eaten per month,1 serving
PartA_OtherSeafood_279-numberOfServingsEatenPerMonth,number of servings of coconut curry other seafood eaten per month,1 serving
PartA_OtherSeafood_283-numberOfServingsEatenPerMonth,number of servings of curry without coconut other seafood eaten per month,1 serving
PartA_OtherSeafood_287-numberOfServingsEatenPerMonth,number of servings of grilled other seafood eaten per month,1 serving
PartA_WholeEggs_291-numberOfServingsEatenPerMonth,number of servings of boiled/poached/in soup/steamed whole eggs (including salted and century eggs) eaten per month,1 egg
PartA_WholeEggs_292-numberOfServingsEatenPerMonth,number of servings of fried/scrambled whole eggs eaten per month,1 egg
PartA_EggWhites_751-numberOfServingsEatenPerMonth,number of servings of boiled/poached/in soup/steamed egg whites (only) eaten per month,1 egg
PartA_EggWhites_752-numberOfServingsEatenPerMonth,number of servings of fried/scrambled egg whites (only) eaten per month,1 egg
PartA_DessertsInSoup_296-numberOfServingsEatenPerMonth,"number of servings of desserts in soup with coconut milk/cream (eg.pulot hitam, bubor cha cha) eaten per month",1 rice bowl
PartA_DessertsInSoup_297-numberOfServingsEatenPerMonth,"number of servings of desserts in soup without coconut milk (eg. Cheng tng, green bean soup, tau suan) eaten per month",1 rice bowl
PartA_KuehKueh_298-numberOfServingsEatenPerMonth,"number of servings of steamed kueh-kueh with coconut/coconut milk/coconut cream (eg. Kueh sarlat, kueh dadar, putu mayam, idli) eaten per month",1 piece
PartA_KuehKueh_299-numberOfServingsEatenPerMonth,"number of servings of steamed kueh-kueh without coconut milk (eg. Kueh tutu, soon kway) eaten per month",1 piece
PartA_OtherDesserts_300-numberOfServingsEatenPerMonth,"number of servings of fried snacks (eg. You tiao, goreng pisang, Indian rojak) eaten per month",1 piece
PartA_OtherDesserts_301-numberOfServingsEatenPerMonth,"number of servings of steamed dim sum (eg. Chee cheong fun, dumplings, rice dumplings) eaten per month",1 serving
PartA_OtherDesserts_302-numberOfServingsEatenPerMonth,"number of servings of fried/deep fried dim sum (eg. Fried carrot cake, wanton, char siew puff) eaten per month",1 piece
PartA_OtherDesserts_303-numberOfServingsEatenPerMonth,"number of servings of sweet Indian snacks (eg. Burfi, halwa) eaten per month",1 piece
PartA_Biscuits_304-numberOfServingsEatenPerMonth,number of servings of plain biscuits eaten per month,2 pieces
PartA_Biscuits_305-numberOfServingsEatenPerMonth,number of servings of cream filled biscuits/shortbread eaten per month,2 pieces
PartA_Biscuits_306-numberOfServingsEatenPerMonth,"number of servings of puff/flaky pastries (eg. Croissants, baked curry puffs etc) eaten per month",1 piece
PartA_Biscuits_307-numberOfServingsEatenPerMonth,number of servings of plain butter cake/fruit cake eaten per month,1 piece
PartA_Biscuits_308-numberOfServingsEatenPerMonth,number of servings of sponge cake eaten per month ,1 piece
PartA_Biscuits_309-numberOfServingsEatenPerMonth,number of servings of cream cakes eaten per month,1 piece
PartA_FastFood_310-numberOfServingsEatenPerMonth,number of servings of beef or chicken burgers eaten per month,1 serving
PartA_FastFood_311-numberOfServingsEatenPerMonth,number of servings of fish burger eaten per month,1 serving
PartA_FastFood_312-numberOfServingsEatenPerMonth,number of servings of french fries eaten per month,1 small serving
PartA_FastFood_313-numberOfServingsEatenPerMonth,number of servings of pizza eaten per month,2 slices
PartA_FastFood_1100-numberOfServingsEatenPerMonth,number of servings of mashed potato with gravy eaten per month,1 regular
PartA_Nuts_315-numberOfServingsEatenPerMonth,number of servings of dry roasted all types of nuts eaten per month,1/2 mug or 1 small packet
PartA_Nuts_316-numberOfServingsEatenPerMonth,number of servings of fried all types of nuts eaten per month,1/2 mug or 1 small packet
PartA_Titbits_317-numberOfServingsEatenPerMonth,"number of servings of fried salty snacks( eg. Crisps, prawn crackers, keropok, salted biscuits and etc) eaten per month ",1 small packet 
PartA_Titbits_318-numberOfServingsEatenPerMonth,number of servings of ice cream eaten per month,1 scoop
PartA_Titbits_319-numberOfServingsEatenPerMonth,number of servings of chocolate eaten per month,4 squares
PartA_Beverage_N5-numberOfServingsEatenPerMonth,"number of servings of plain water (eg. Tap, sparkling or bottled) drank per month",1 glass
PartA_BeverageVegeFruit_N6-numberOfServingsEatenPerMonth,number of servings of tomato/vegetable juice drank per month,1 glass
PartA_BeverageVegeFruit_N7-numberOfServingsEatenPerMonth,number of servings of orange/lime juice drank per month,1 glass
PartA_BeverageVegeFruit_N8-numberOfServingsEatenPerMonth,number of servings of sugar cane juice drank per month,1 glass
PartA_BeverageVegeFruit_N9-numberOfServingsEatenPerMonth,number of servings of grapefruit juice drank per month ,1 glass
PartA_BeverageVegeFruit_N10-numberOfServingsEatenPerMonth,number of servings of other fruit juice (100%) drank per month,1 glass
PartA_BeverageVegeFruit_N11-numberOfServingsEatenPerMonth,number of servings of other mixed fruit-vegetable juices (100%) drank per month,1 glass
PartA_BeverageVegeFruit_N12-numberOfServingsEatenPerMonth,"number of servings of sugared fruit drinks/other sugared drinks made from syrup/cordial (eg. Lemonade, rooh afza/other sweetened canned or packed drinks) drank per month",1 glass
PartA_BeverageSoftDrinks_N13-numberOfServingsEatenPerMonth,"number of servings of carbonated low calories drinks with caffeine (eg. Diet coke, coke zero) drank per month ",1 glass
PartA_BeverageSoftDrinks_N14-numberOfServingsEatenPerMonth,number of servings of other carbonated low calorie drinks without caffeine (eg. Diet 7-up) drank per month,1 glass
PartA_BeverageSoftDrinks_N15-numberOfServingsEatenPerMonth,"number of servings of carbonated drinks with sugar and caffeine (eg. Coca-cola, pepsi) drank per month",1 glass
PartA_BeverageSoftDrinks_N16-numberOfServingsEatenPerMonth,"number of servings of other carbonated drinks with sugar but non-caffeinated (eg. 7-up, root beer) drank per month",1 glass
PartA_BeverageSoftDrinks_N17-numberOfServingsEatenPerMonth,"number of servings of sports/energy drinks (eg. 7-up revive, 100+ isotonic, red bull, gatorade) drank per month",1 glass
PartA_PlainCoffee_N18-numberOfServingsEatenPerMonth,"number of servings of plain brewed coffee (exclude, instant coffee, gourmet coffee, 2-in-1 or 3-in-1) drank per month",1 cup
PartA_PlainCoffee_N19-numberOfServingsEatenPerMonth,number of servings of instant coffees (exclude 2-in-1/3-in-1) drank per month,1 cup
PartA_PlainCoffee_N20-numberOfServingsEatenPerMonth,number of servings of instant 2-in-1 or 3-in-1 coffee drank per month,1 packet (20g)
PartA_PlainCoffee_N21-numberOfServingsEatenPerMonth,number of servings of sweetened bottled/canned coffee drinks drank per month,1 regular glass
PartA_PlainCoffee_N22-numberOfServingsEatenPerMonth,"number of servings of gourmet coffee (eg. Mocha, frappuccino, cappuccino) drank per month ",1 regular glass
PartA_Tea_N23-numberOfServingsEatenPerMonth,"number of servings of sweetened bottled tea (non-brewed, eg. Ice-lemon/peach teas) drank per month",1 regular glass
PartA_Tea_N24-numberOfServingsEatenPerMonth,number of servings of ceylon/english tea (brewed) drank per month ,1 cup (215ml)
PartA_Tea_N25-numberOfServingsEatenPerMonth,number of servings of chinese tea (brewed) drank per month 1 cup,1 cup (215ml)
PartA_Tea_N26-numberOfServingsEatenPerMonth,number of servings of green tea (brewed) drank per month ,1 cup (215ml)
PartA_Tea_N27-numberOfServingsEatenPerMonth,number of servings of herbal tea (brewed) drank per month,1 cup (215ml)
PartA_Tea_N28-numberOfServingsEatenPerMonth,number of servings of instant 2-in-1 or 3-in-1 tea drank per month,1 cup (215ml)
PartA_Malt_1320-numberOfServingsEatenPerMonth,"number of servings of malt beverages (eg. Hot chocolate, horlick¨, Milo¨, Ovaltine¨) drank per month",2 tablespoons
PartA_MilkAsDrink_341-numberOfServingsEatenPerMonth,"number of servings of full cream millk (fresh, UHT, powder) drank per month",1 glass
PartA_MilkAsDrink_342-numberOfServingsEatenPerMonth,"number of servings of low fat milk (fresh, UHT, powder) drank per month ",1 glass
PartA_MilkAsDrink_343-numberOfServingsEatenPerMonth,"number of servings of skimmed milk (fresh, UHT, powder) drank per month",1 glass
PartA_MilkAsDrink_N29-numberOfServingsEatenPerMonth,number of servings of milkshakes (eg. Banana milkshake) drank per month ,1 glass
PartA_Yoghurt_344-numberOfServingsEatenPerMonth,number of servings of regular yoghurt eaten per month,1 small glass
PartA_Yoghurt_345-numberOfServingsEatenPerMonth,number of servings of low fat yoghurt (including frozen yoghurt) eaten per month,1 small glass
PartA_Yoghurt_N30-numberOfServingsEatenPerMonth,"number of servings of yoghurt based drinks(eg. Lassi, Indian buttermilk, yakult) drank per month",1 small glass
PartA_Cheese_346-numberOfServingsEatenPerMonth,number of servings of cheese/cheese spread eaten per month ,1 slice/ 4 dessert spoons
PartA_Cheese_347-numberOfServingsEatenPerMonth,number of servings of low fat cheese eaten per month,1 slice
PartA_SoyaProducts_1200-numberOfServingsEatenPerMonth,number of servings of soya milk drink (fresh/packet/can) drank per month,1 regular glass
